['43', '16', '47', '18', '35']
['31', '29', '26', '42', '39']
['11', '41', '6', '20', '17']
['44', '10', '37', '22', '5']
['40', '49', '23', '27', '3']
['21', '34', '19', '0', '36']
['45', '28', '9', '15', '4']
['38', '32', '12', '33', '7']
['14', '30', '1', '25', '13']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
['24', '46', '48', '2', '8']
