['264', '607', '85', '549', '645', '367', '931', '583', '296', '287', '18', '250', '505', '20', '434', '146', '812', '41', '909', '222', '179', '598', '674', '760', '942', '871', '244', '33', '230', '840', '134']
['846', '465', '937', '173', '689', '188', '471', '913', '627', '653', '389', '127', '435', '529', '120', '928', '338', '848', '71', '246', '130', '295', '561', '88', '362', '236', '336', '636', '728', '135', '286']
['599', '806', '401', '139', '641', '288', '510', '738', '618', '453', '811', '559', '901', '568', '751', '867', '906', '373', '83', '358', '796', '452', '957', '198', '201', '747', '506', '514', '841', '202', '162']
['225', '656', '736', '955', '38', '436', '956', '67', '215', '626', '388', '670', '280', '231', '528', '794', '456', '400', '519', '35', '185', '274', '351', '684', '768', '410', '148', '880', '790', '952', '72']
['160', '174', '257', '398', '340', '781', '479', '265', '714', '259', '874', '546', '395', '662', '527', '721', '325', '482', '619', '5', '79', '197', '808', '704', '868', '234', '126', '557', '481', '316', '462']
['382', '722', '93', '884', '82', '2', '109', '375', '194', '472', '523', '58', '578', '119', '832', '455', '123', '297', '534', '883', '152', '457', '605', '801', '211', '882', '460', '498', '699', '191', '6']
['522', '328', '308', '770', '180', '278', '654', '116', '371', '108', '377', '664', '604', '631', '363', '475', '788', '252', '39', '29', '582', '430', '593', '461', '326', '690', '24', '390', '939', '894', '324']
['525', '345', '158', '447', '313', '380', '379', '364', '849', '643', '149', '489', '196', '275', '23', '22', '524', '588', '329', '793', '94', '697', '701', '150', '8', '926', '614', '1', '26', '735', '758']
['924', '344', '171', '862', '731', '693', '189', '95', '625', '729', '448', '424', '903', '163', '678', '209', '891', '145', '136', '616', '474', '443', '459', '831', '623', '687', '784', '260', '445', '933', '165']
['947', '431', '241', '420', '494', '333', '719', '294', '276', '857', '492', '255', '954', '513', '817', '959', '142', '289', '27', '378', '112', '141', '540', '870', '490', '154', '818', '620', '709', '391', '585']
['799', '417', '586', '299', '254', '944', '516', '809', '554', '392', '600', '239', '526', '761', '845', '129', '839', '331', '650', '153', '438', '365', '921', '73', '743', '396', '660', '592', '161', '348', '861']
['639', '951', '137', '310', '551', '562', '617', '948', '423', '132', '640', '935', '764', '247', '53', '564', '596', '318', '285', '851', '757', '908', '754', '427', '52', '545', '745', '910', '589', '702', '720']
['147', '567', '737', '193', '904', '54', '249', '569', '399', '825', '418', '803', '685', '42', '115', '842', '649', '795', '733', '381', '571', '608', '533', '544', '591', '828', '820', '755', '695', '762', '207']
['945', '613', '311', '573', '89', '881', '304', '819', '917', '556', '877', '290', '826', '658', '267', '495', '416', '169', '34', '415', '680', '78', '486', '181', '694', '566', '469', '159', '532', '521', '268']
['140', '450', '672', '17', '317', '493', '70', '100', '934', '409', '852', '439', '172', '261', '635', '666', '575', '293', '413', '320', '133', '889', '327', '484', '538', '940', '833', '444', '106', '334', '442']
['507', '535', '681', '49', '463', '352', '387', '343', '875', '170', '101', '245', '10', '356', '769', '122', '725', '36', '594', '87', '167', '710', '184', '712', '740', '124', '590', '503', '565', '907', '272']
['960', '394', '63', '405', '580', '711', '676', '30', '84', '601', '339', '792', '125', '791', '451', '863', '953', '138', '97', '218', '74', '669', '550', '787', '307', '468', '429', '855', '485', '68', '237']
['821', '192', '226', '763', '511', '221', '708', '220', '227', '657', '491', '422', '204', '393', '776', '270', '168', '397', '856', '813', '281', '437', '305', '807', '291', '190', '552', '872', '824', '759', '919']
['789', '354', '214', '425', '57', '342', '186', '844', '187', '647', '691', '404', '55', '15', '595', '518', '223', '504', '537', '677', '361', '667', '19', '830', '496', '75', '28', '103', '203', '707', '111']
['802', '864', '62', '838', '705', '321', '726', '208', '584', '644', '730', '508', '850', '366', '642', '836', '715', '536', '102', '548', '606', '56', '309', '922', '335', '646', '433', '284', '48', '918', '897']
['936', '480', '887', '673', '530', '98', '449', '386', '779', '634', '682', '262', '258', '402', '911', '224', '421', '64', '232', '12', '65', '744', '700', '383', '269', '741', '242', '315', '253', '675', '958']
['229', '47', '629', '898', '878', '360', '766', '502', '665', '428', '717', '547', '560', '885', '99', '854', '663', '369', '520', '384', '349', '155', '869', '182', '920', '319', '886', '114', '279', '359', '576']
['355', '541', '407', '517', '860', '752', '217', '92', '332', '767', '271', '128', '542', '113', '341', '659', '76', '77', '277', '688', '440', '902', '487', '464', '238', '408', '32', '686', '692', '216', '151']
['713', '370', '724', '45', '302', '183', '785', '815', '638', '570', '337', '240', '81', '780', '235', '497', '107', '805', '827', '357', '777', '314', '14', '847', '893', '800', '950', '121', '104', '454', '628']
['555', '925', '539', '199', '756', '144', '696', '80', '298', '273', '473', '60', '783', '765', '865', '753', '577', '915', '411', '938', '40', '927', '946', '177', '633', '775', '251', '879', '200', '543', '771']
['156', '621', '651', '896', '652', '86', '746', '843', '426', '912', '292', '500', '406', '350', '932', '602', '13', '176', '44', '66', '515', '212', '178', '734', '323', '16', '923', '282', '718', '655', '9']
['347', '661', '157', '949', '750', '372', '637', '300', '553', '816', '574', '195', '739', '432', '671', '90', '446', '105', '256', '804', '834', '368', '37', '219', '742', '458', '131', '228', '558', '858', '829']
['322', '572', '205', '117', '11', '916', '118', '610', '579', '773', '175', '749', '376', '837', '797', '0', '622', '499', '892', '243', '25', '648', '890', '483', '822', '943', '814', '835', '632', '21', '624']
['266', '900', '941', '905', '703', '698', '346', '873', '303', '477', '210', '716', '466', '866', '43', '723', '164', '706', '46', '488', '748', '143', '306', '778', '895', '683', '414', '385', '786', '853', '563']
['50', '501', '929', '166', '110', '512', '233', '509', '301', '876', '679', '312', '531', '609', '611', '888', '4', '353', '3', '587', '732', '615', '31', '412', '59', '419', '470', '263', '930', '630', '772']
['810', '441', '581', '798', '206', '96', '782', '914', '91', '467', '727', '51', '774', '213', '899', '69', '823', '476', '612', '597', '248', '283', '61', '668', '403', '859', '7', '478', '330', '374', '603']
