['871', '472', '194', '424', '292', '495', '289']
['36', '868', '91', '539', '500', '401', '459']
['580', '35', '824', '850', '221', '834', '531']
['181', '637', '570', '927', '925', '891', '364']
['199', '665', '686', '635', '854', '705', '737']
['373', '688', '886', '454', '654', '789', '376']
['508', '516', '921', '265', '213', '25', '535']
['206', '201', '355', '15', '820', '778', '513']
['741', '442', '777', '345', '658', '679', '122']
['384', '189', '237', '460', '96', '375', '745']
['275', '391', '32', '452', '57', '735', '950']
['392', '601', '526', '358', '860', '723', '573']
['333', '678', '106', '17', '58', '766', '283']
['54', '506', '363', '398', '696', '260', '461']
['205', '604', '914', '322', '611', '781', '706']
['683', '24', '256', '410', '596', '632', '72']
['616', '143', '942', '76', '161', '140', '443']
['862', '148', '240', '728', '37', '948', '64']
['394', '876', '708', '301', '760', '579', '585']
['351', '87', '68', '907', '853', '614', '313']
['219', '456', '428', '897', '681', '117', '687']
['843', '492', '751', '138', '523', '680', '642']
['804', '242', '670', '453', '81', '772', '458']
['187', '56', '99', '961', '830', '858', '174']
['136', '422', '210', '748', '816', '497', '304']
['2', '826', '595', '204', '288', '415', '920']
['383', '549', '113', '14', '400', '280', '592']
['212', '360', '684', '134', '450', '311', '435']
['429', '906', '420', '621', '243', '479', '287']
['954', '957', '5', '896', '924', '285', '631']
['94', '971', '135', '515', '529', '650', '734']
['864', '894', '319', '432', '141', '308', '620']
['690', '263', '910', '673', '370', '798', '451']
['281', '810', '869', '438', '469', '584', '302']
['695', '49', '241', '197', '104', '154', '291']
['387', '909', '801', '776', '855', '643', '652']
['223', '743', '395', '807', '321', '625', '756']
['9', '759', '220', '567', '305', '162', '347']
['562', '473', '474', '85', '628', '274', '26']
['867', '809', '581', '176', '153', '967', '524']
['528', '548', '835', '411', '935', '802', '537']
['418', '476', '873', '139', '38', '385', '784']
['842', '416', '966', '788', '342', '617', '406']
['109', '726', '903', '270', '713', '297', '3']
['46', '200', '465', '23', '30', '261', '316']
['511', '859', '945', '962', '718', '813', '491']
['771', '738', '393', '41', '775', '844', '367']
['336', '732', '82', '259', '359', '904', '593']
['482', '722', '785', '470', '123', '662', '184']
['369', '196', '774', '478', '344', '382', '207']
['888', '666', '899', '792', '290', '144', '457']
['697', '324', '63', '246', '932', '955', '307']
['556', '600', '326', '664', '618', '698', '578']
['912', '16', '93', '884', '893', '314', '249']
['641', '892', '812', '455', '928', '477', '800']
['7', '630', '149', '806', '634', '338', '362']
['799', '397', '612', '937', '133', '501', '168']
['546', '447', '521', '230', '52', '639', '248']
['930', '552', '811', '757', '22', '791', '610']
['577', '444', '118', '251', '828', '128', '343']
['1', '931', '31', '112', '675', '714', '97']
['720', '55', '157', '388', '926', '341', '711']
['158', '754', '563', '819', '191', '353', '674']
['970', '565', '65', '413', '543', '124', '171']
['622', '786', '437', '689', '0', '449', '701']
['83', '356', '374', '166', '267', '547', '277']
['672', '346', '704', '609', '530', '624', '727']
['629', '588', '685', '404', '651', '560', '740']
['534', '857', '929', '368', '865', '677', '898']
['551', '330', '538', '509', '71', '587', '676']
['286', '146', '568', '918', '216', '178', '627']
['848', '95', '972', '434', '951', '468', '309']
['419', '433', '310', '39', '902', '668', '486']
['110', '644', '780', '863', '525', '746', '502']
['851', '922', '66', '4', '372', '293', '879']
['823', '167', '228', '296', '10', '545', '803']
['887', '279', '805', '744', '765', '334', '339']
['399', '78', '227', '436', '306', '441', '40']
['779', '431', '448', '550', '264', '445', '655']
['323', '693', '480', '520', '481', '318', '169']
['101', '255', '125', '254', '836', '615', '827']
['209', '608', '883', '214', '276', '574', '475']
['202', '74', '817', '504', '98', '60', '533']
['18', '403', '103', '724', '796', '969', '8']
['709', '108', '953', '320', '493', '968', '721']
['244', '116', '499', '67', '731', '215', '222']
['427', '33', '880', '768', '269', '294', '485']
['337', '282', '252', '793', '350', '89', '193']
['156', '569', '238', '380', '846', '231', '155']
['762', '180', '663', '874', '773', '633', '332']
['753', '755', '440', '749', '769', '100', '818']
['20', '147', '490', '379', '761', '590', '943']
['381', '795', '917', '602', '730', '329', '603']
['463', '653', '446', '699', '606', '916', '185']
['915', '555', '605', '582', '235', '28', '198']
['352', '825', '947', '412', '939', '340', '462']
['88', '69', '763', '564', '660', '90', '160']
['247', '303', '940', '12', '782', '44', '203']
['396', '911', '794', '13', '623', '371', '647']
['517', '764', '770', '298', '512', '335', '919']
['832', '815', '575', '646', '365', '42', '861']
['895', '558', '849', '667', '488', '268', '70']
['900', '885', '233', '165', '866', '557', '483']
['226', '425', '61', '597', '421', '34', '847']
['131', '53', '682', '271', '439', '498', '182']
['640', '366', '75', '77', '50', '328', '956']
['586', '102', '84', '186', '417', '872', '808']
['648', '649', '408', '142', '29', '466', '151']
['327', '561', '960', '890', '107', '790', '840']
['126', '691', '821', '489', '127', '51', '694']
['317', '656', '188', '870', '783', '245', '901']
['913', '45', '905', '703', '591', '852', '638']
['192', '503', '659', '829', '636', '619', '348']
['11', '19', '700', '190', '878', '527', '725']
['386', '27', '262', '164', '739', '542', '963']
['964', '21', '814', '467', '402', '414', '507']
['881', '273', '946', '571', '841', '390', '833']
['150', '426', '518', '938', '838', '522', '284']
['170', '6', '934', '487', '172', '657', '295']
['692', '671', '300', '312', '325', '532', '115']
['747', '224', '266', '752', '822', '572', '129']
['767', '354', '645', '494', '177', '845', '389']
['733', '361', '405', '607', '59', '742', '357']
['86', '941', '669', '132', '225', '716', '183']
['253', '594', '882', '119', '464', '430', '875']
['553', '959', '599', '211', '378', '797', '958']
['702', '949', '407', '145', '710', '923', '299']
['936', '877', '944', '908', '554', '889', '80']
['598', '331', '583', '559', '626', '218']
['831', '120', '73', '750', '707', '208']
['173', '837', '48', '409', '111', '234']
['736', '505', '272', '315', '965', '278']
['239', '152', '576', '541', '175', '105']
['258', '787', '758', '195', '589', '715']
['536', '130', '510', '514', '377', '471']
['661', '62', '729', '613', '250', '257']
['933', '232', '423', '92', '236', '952']
['544', '519', '43', '159', '229', '484']
['217', '566', '137', '114', '839', '179']
['717']
['47']
['719', '540']
['496', '349', '856', '79', '163', '121', '712']
