['219', '726', '729', '674', '547', '341', '422', '192', '209', '966', '526', '493', '58', '839', '173', '798', '486', '441', '502', '733', '757', '337', '157', '398', '518']
['442', '556', '92', '257', '247', '565', '13', '955', '370', '572', '391', '121', '476', '623', '507', '259', '847', '690', '544', '380', '530', '269', '999', '657', '710']
['47', '906', '312', '325', '919', '338', '677', '97', '765', '144', '687', '483', '551', '16', '455', '628', '424', '951', '499', '201', '379', '761', '225', '707', '603']
['283', '423', '137', '763', '233', '428', '888', '252', '535', '613', '485', '169', '959', '436', '972', '617', '359', '386', '218', '879', '264', '497', '317', '100', '797']
['131', '256', '248', '630', '658', '367', '647', '136', '577', '639', '296', '181', '505', '19', '344', '388', '978', '527', '64', '637', '33', '937', '668', '449', '632']
['433', '68', '992', '358', '800', '634', '781', '466', '334', '96', '976', '789', '568', '193', '851', '829', '767', '512', '309', '145', '606', '841', '195', '198', '701']
['832', '223', '570', '319', '777', '705', '696', '771', '41', '306', '508', '986', '384', '541', '411', '270', '768', '844', '901', '301', '815', '345', '21', '816', '348']
['53', '869', '555', '322', '695', '659', '36', '704', '609', '426', '331', '525', '293', '725', '407', '605', '140', '313', '579', '60', '995', '95', '870', '749', '633']
['586', '279', '27', '324', '670', '262', '769', '509', '15', '574', '533', '840', '205', '310', '172', '215', '878', '688', '515', '645', '891', '328', '858', '598', '504']
['804', '93', '599', '612', '735', '392', '170', '85', '703', '538', '874', '896', '964', '330', '514', '723', '669', '920', '862', '45', '783', '464', '494', '98', '267']
['373', '492', '425', '465', '899', '243', '394', '187', '227', '364', '973', '115', '462', '458', '922', '413', '288', '435', '432', '943', '20', '667', '90', '742', '809']
['369', '327', '474', '189', '221', '549', '693', '651', '22', '112', '932', '434', '23', '732', '610', '488', '439', '875', '158', '741', '453', '314', '484', '184', '183']
['811', '812', '921', '237', '961', '260', '898', '39', '562', '460', '822', '818', '756', '962', '865', '208', '155', '295', '336', '416', '629', '255', '838', '948', '784']
['895', '927', '974', '452', '128', '55', '106', '925', '245', '907', '294', '28', '724', '913', '239', '24', '230', '944', '166', '684', '10', '108', '578', '852', '923']
['360', '954', '265', '918', '307', '383', '214', '204', '241', '751', '78', '30', '560', '42', '89', '945', '569', '57', '113', '611', '400', '734', '491', '390', '803']
['226', '197', '808', '304', '799', '738', '363', '626', '567', '826', '311', '253', '242', '848', '399', '624', '222', '70', '352', '864', '282', '236', '278', '712', '80']
['563', '272', '997', '298', '378', '933', '622', '333', '366', '575', '430', '585', '745', '281', '44', '450', '773', '790', '625', '127', '246', '149', '315', '730', '179']
['143', '666', '600', '673', '175', '675', '728', '292', '746', '952', '46', '762', '787', '332', '631', '534', '11', '340', '953', '6', '718', '602', '583', '513', '833']
['546', '683', '63', '759', '91', '654', '133', '162', '772', '168', '54', '463', '320', '566', '946', '969', '316', '743', '409', '581', '377', '775', '171', '431', '381']
['419', '810', '691', '437', '977', '935', '335', '308', '427', '755', '443', '156', '271', '791', '915', '350', '82', '250', '601', '18', '991', '916', '853', '694', '3']
['109', '760', '652', '396', '717', '594', '473', '471', '664', '17', '362', '479', '642', '548', '564', '305', '660', '739', '129', '711', '748', '354', '900', '421', '845']
['482', '188', '931', '550', '83', '641', '506', '752', '893', '880', '529', '213', '164', '889', '26', '118', '700', '863', '285', '116', '84', '232', '636', '890', '866']
['779', '303', '679', '828', '385', '522', '887', '119', '699', '139', '998', '871', '244', '656', '448', '138', '792', '498', '557', '217', '67', '159', '123', '234', '802']
['552', '702', '824', '881', '286', '947', '621', '715', '94', '135', '559', '280', '580', '884', '103', '141', '635', '231', '376', '930', '496', '689', '793', '406', '593']
['263', '211', '663', '708', '587', '520', '680', '503', '646', '86', '857', '817', '571', '740', '8', '148', '988', '861', '894', '942', '477', '153', '806', '480', '558']
['199', '521', '516', '835', '737', '967', '517', '420', '614', '34', '167', '936', '989', '210', '51', '50', '500', '681', '182', '302', '5', '224', '342', '727', '299']
['536', '191', '146', '410', '25', '468', '720', '117', '528', '69', '59', '532', '510', '0', '662', '105', '545', '615', '653', '831', '356', '979', '228', '160', '744']
['867', '837', '361', '785', '418', '531', '404', '590', '87', '478', '368', '846', '456', '981', '73', '353', '766', '343', '655', '917', '446', '161', '229', '165', '956']
['52', '671', '469', '597', '908', '355', '122', '786', '722', '876', '38', '965', '291', '438', '284', '709', '697', '678', '405', '490', '408', '374', '417', '190', '706']
['150', '472', '909', '928', '843', '774', '397', '855', '924', '177', '216', '859', '576', '519', '62', '830', '591', '151', '339', '48', '251', '454', '834', '321', '287']
['640', '825', '758', '736', '200', '429', '665', '914', '470', '619', '554', '827', '608', '104', '297', '261', '698', '371', '29', '993', '74', '692', '996', '782', '203']
['649', '290', '854', '457', '382', '524', '40', '202', '877', '76', '686', '111', '274', '254', '627', '672', '176', '819', '883', '273', '61', '71', '820', '719', '963']
