['373', '492', '983', '256', '283', '974', '961', '705', '696', '746', '187', '478', '566', '13', '460', '186', '626', '241', '407', '141', '713', '82', '623', '371', '305', '328', '629', '74', '98', '657', '592', '535']
['130', '726', '53', '474', '211', '404', '375', '587', '335', '565', '366', '955', '487', '456', '34', '38', '254', '716', '316', '281', '399', '801', '660', '500', '690', '697', '862', '236', '999', '727', '542', '80']
['552', '143', '303', '881', '769', '714', '728', '365', '721', '522', '659', '320', '32', '75', '214', '595', '280', '479', '430', '672', '409', '138', '79', '271', '732', '475', '858', '439', '561', '692', '718', '761']
['832', '927', '221', '764', '265', '634', '651', '781', '967', '468', '304', '528', '755', '762', '529', '567', '293', '35', '576', '604', '103', '605', '571', '350', '155', '101', '416', '917', '398', '749', '710', '712']
['616', '702', '691', '442', '312', '935', '298', '926', '771', '394', '420', '876', '731', '639', '364', '836', '485', '11', '766', '972', '700', '89', '920', '879', '302', '339', '232', '337', '408', '588', '539', '315']
['954', '906', '423', '928', '612', '233', '133', '385', '205', '310', '258', '722', '905', '780', '969', '725', '851', '49', '751', '656', '959', '519', '823', '140', '891', '105', '88', '196', '544', '979', '984', '117']
['199', '867', '393', '654', '729', '675', '325', '735', '533', '950', '868', '742', '323', '58', '294', '443', '16', '43', '723', '591', '488', '295', '655', '733', '569', '518', '345', '314', '71', '160', '277', '287']
['810', '992', '355', '457', '410', '142', '144', '470', '559', '896', '167', '889', '115', '620', '970', '230', '944', '353', '259', '527', '207', '872', '151', '309', '60', '990', '953', '444', '379', '606', '583', '802']
['226', '147', '850', '191', '934', '947', '805', '677', '501', '520', '260', '122', '594', '429', '821', '665', '849', '41', '946', '994', '608', '981', '238', '860', '993', '251', '201', '354', '464', '57', '841', '919']
['482', '516', '188', '437', '537', '695', '652', '647', '422', '949', '925', '426', '699', '462', '156', '78', '962', '166', '557', '431', '831', '381', '5', '883', '18', '159', '968', '402', '793', '820', '694', '299']
['419', '223', '324', '812', '759', '452', '674', '680', '247', '786', '517', '538', '924', '646', '822', '164', '776', '344', '301', '740', '357', '20', '653', '864', '960', '61', '269', '157', '838', '132', '504', '491']
