['324', '906', '516', '835', '286', '800', '14', '634', '771', '200', '58', '639', '456', '724', '848', '713', '605', '30', '564', '64', '343', '557', '579', '302', '20', '336', '540', '57', '742', '283', '445', '701']
['726', '66', '928', '197', '367', '107', '372', '808', '622', '422', '774', '55', '877', '738', '4', '311', '156', '476', '0', '700', '12', '690', '88', '629', '960', '484', '74', '228', '853', '98', '816', '491']
['68', '947', '630', '298', '902', '308', '952', '704', '886', '880', '215', '541', '571', '261', '669', '166', '60', '754', '741', '431', '883', '748', '490', '157', '159', '417', '523', '480', '632', '558', '866', '183']
['895', '102', '109', '785', '599', '850', '452', '673', '175', '679', '596', '680', '25', '94', '493', '529', '280', '364', '631', '656', '455', '450', '371', '486', '958', '709', '405', '464', '127', '530', '345', '495']
['812', '597', '735', '133', '97', '765', '950', '310', '528', '787', '925', '34', '479', '253', '440', '16', '859', '489', '922', '589', '414', '413', '891', '264', '858', '747', '653', '84', '116', '942', '446', '494']
['327', '702', '211', '52', '584', '524', '122', '887', '333', '888', '75', '839', '306', '28', '836', '430', '462', '281', '78', '266', '297', '560', '285', '637', '900', '6', '145', '504', '267', '203', '299', '956']
['199', '869', '825', '265', '509', '501', '926', '547', '807', '252', '17', '575', '716', '173', '608', '505', '79', '576', '515', '141', '353', '288', '512', '435', '790', '875', '171', '284', '314', '71', '734', '287']
['360', '130', '683', '237', '549', '533', '341', '83', '647', '135', '41', '855', '213', '384', '795', '794', '114', '194', '617', '441', '498', '250', '182', '655', '601', '943', '67', '894', '917', '269', '421', '707']
['131', '433', '219', '143', '677', '46', '9', '478', '397', '924', '172', '204', '329', '627', '551', '86', '751', '767', '121', '238', '817', '610', '101', '499', '321', '113', '761', '348', '165', '3', '803', '833']
['536', '563', '53', '27', '764', '777', '654', '781', '396', '717', '392', '949', '609', '595', '938', '37', '193', '553', '104', '424', '357', '8', '18', '387', '381', '882', '374', '916', '730', '401', '592', '712']
['670', '550', '300', '705', '658', '652', '840', '351', '112', '186', '370', '878', '293', '391', '823', '792', '344', '618', '249', '359', '847', '309', '710', '317', '733', '862', '356', '153', '667', '939', '44', '904']
['691', '556', '881', '661', '758', '908', '696', '457', '124', '307', '335', '843', '209', '682', '762', '368', '876', '582', '461', '275', '35', '438', '43', '543', '10', '831', '337', '870', '61', '873', '398', '606']
['552', '832', '837', '521', '671', '243', '192', '394', '320', '227', '849', '349', '38', '572', '672', '959', '77', '51', '698', '105', '684', '29', '108', '148', '48', '217', '33', '251', '838', '132', '21', '603']
['570', '163', '663', '854', '714', '375', '760', '746', '206', '821', '703', '177', '646', '254', '164', '49', '390', '857', '70', '295', '339', '864', '224', '416', '757', '354', '161', '633', '195', '415', '727', '919']
['586', '373', '223', '93', '188', '469', '418', '675', '805', '587', '721', '56', '907', '470', '567', '296', '362', '826', '936', '210', '230', '152', '788', '865', '231', '500', '268', '328', '158', '819', '95', '282']
['811', '425', '303', '921', '769', '935', '410', '708', '404', '897', '590', '72', '912', '1', '363', '420', '460', '813', '110', '657', '827', '743', '829', '863', '879', '151', '953', '444', '240', '588', '100', '784']
['419', '759', '189', '137', '466', '168', '346', '106', '526', '665', '426', '111', '941', '451', '889', '585', '26', '911', '399', '330', '624', '412', '739', '155', '5', '561', '544', '408', '454', '643', '518', '184']
['954', '279', '810', '91', '221', '146', '322', '338', '715', '40', '170', '258', '22', '686', '245', '818', '291', '316', '620', '242', '118', '407', '604', '89', '545', '793', '602', '806', '315', '229', '719', '277']
['442', '262', '573', '728', '648', '755', '786', '187', '323', '326', '874', '559', '181', '485', '23', '642', '409', '519', '377', '944', '773', '82', '623', '259', '678', '201', '255', '689', '235', '449', '820', '535']
['126', '666', '290', '65', '828', '334', '562', '594', '142', '294', '487', '619', '139', '434', '613', '167', '483', '443', '635', '915', '50', '681', '318', '432', '380', '834', '583', '607', '782', '278', '389', '809']
['147', '423', '909', '248', '260', '128', '772', '503', '720', '429', '892', '814', '914', '731', '955', '725', '591', '844', '305', '386', '129', '945', '232', '815', '31', '273', '379', '718', '890', '400', '845', '744']
['395', '899', '437', '961', '621', '750', '898', '292', '162', '933', '736', '403', '752', '383', '946', '274', '13', '851', '508', '694', '448', '645', '388', '376', '439', '196', '477', '685', '802', '578', '481', '923']
['804', '867', '779', '492', '472', '319', '934', '770', '531', '468', '471', '856', '780', '638', '19', '270', '775', '179', '951', '901', '662', '660', '301', '208', '872', '149', '650', '190', '160', '185', '797', '80']
['256', '63', '824', '929', '931', '600', '358', '693', '15', '695', '99', '174', '706', '659', '247', '87', '885', '214', '932', '896', '241', '347', '271', '860', '176', '475', '697', '496', '539', '668', '154', '513']
['263', '957', '842', '312', '574', '257', '304', '463', '506', '119', '59', '534', '24', '548', '103', '791', '768', '766', '350', '140', '798', '313', '340', '676', '740', '625', '352', '749', '342', '406', '236', '948']
['369', '272', '927', '92', '474', '393', '555', '674', '537', '120', '799', '722', '69', '846', '76', '538', '220', '532', '687', '244', '138', '801', '581', '42', '615', '598', '569', '467', '937', '90', '796', '778']
['640', '546', '616', '47', '763', '612', '382', '459', '136', '641', '36', '39', '473', '85', '893', '144', '745', '239', '688', '11', '514', '628', '411', '903', '502', '2', '930', '753', '45', '636', '276', '198']
['482', '910', '465', '729', '355', '81', '522', '289', '32', '566', '134', '664', '940', '554', '332', '525', '756', '169', '913', '510', '62', '73', '732', '507', '178', '225', '453', '402', '123', '234', '852', '593']
['150', '226', '361', '191', '365', '577', '202', '565', '366', '868', '517', '789', '626', '614', '822', '776', '115', '458', '884', '723', '218', '920', '222', '711', '511', '783', '180', '246', '841', '611', '125', '861']
['649', '233', '325', '428', '651', '378', '520', '737', '385', '918', '54', '205', '447', '644', '117', '96', '699', '331', '568', '216', '871', '580', '436', '830', '488', '527', '207', '497', '212', '7', '692', '542']
['427', '905']
