['126', '867', '465', '927', '931', '290', '355', '124', '520', '25', '892', '807', '471', '76', '582', '525', '969', '987', '970', '49', '239', '344', '50', '623', '259', '285', '475', '864', '6', '402', '890']
['373', '226', '188', '66', '137', '974', '375', '902', '392', '94', '36', '506', '849', '274', '487', '619', '941', '448', '857', '788', '0', '105', '264', '207', '431', '45', '748', '883', '477', '159', '539']
['474', '437', '777', '262', '322', '926', '590', '174', '170', '562', '644', '966', '985', '135', '517', '17', '493', '946', '639', '144', '186', '306', '451', '585', '620', '534', '62', '773', '723', '70', '557']
['804', '361', '68', '910', '410', '81', '162', '372', '334', '304', '247', '258', '403', '227', '55', '526', '813', '789', '280', '34', '878', '756', '973', '936', '628', '817', '660', '978', '313', '222', '129']
['536', '272', '92', '977', '550', '428', '658', '509', '735', '728', '468', '168', '473', '323', '703', '846', '370', '580', '989', '409', '73', '698', '798', '268', '2', '598', '101', '733', '240', '749', '417']
['147', '327', '442', '928', '630', '612', '750', '40', '96', '885', '204', '241', '687', '118', '78', '489', '541', '231', '982', '301', '284', '48', '217', '33', '496', '629', '453', '467', '246', '518', '153']
['811', '47', '93', '729', '248', '671', '679', '634', '677', '587', '459', '722', '75', '119', '111', '434', '86', '859', '829', '104', '436', '176', '732', '249', '610', '10', '328', '201', '282', '342', '234']
['649', '423', '909', '835', '14', '708', '289', '888', '704', '774', '821', '886', '975', '925', '58', '538', '167', '998', '115', '156', '851', '391', '751', '210', '944', '713', '208', '900', '870', '834', '57']
['360', '837', '961', '758', '206', '463', '565', '787', '893', '41', '214', '924', '595', '529', '994', '443', '458', '913', '462', '964', '604', '794', '424', '739', '993', '692', '979', '611', '449', '668', '778']
['492', '102', '143', '546', '27', '319', '825', '191', '457', '133', '202', '877', '252', '332', '724', '551', '981', '271', '581', '903', '270', '450', '624', '353', '617', '166', '498', '309', '302', '20', '945']
['810', '63', '163', '599', '300', '597', '714', '537', '967', '72', '32', '59', '362', '780', '28', '532', '986', '230', '922', '635', '775', '571', '591', '413', '82', '669', '662', '891', '502', '151', '145']
['109', '764', '325', '596', '737', '307', '99', '808', '422', '786', '566', '880', '426', '213', '856', '329', '638', '716', '818', '216', '244', '848', '505', '407', '77', '350', '108', '917', '873', '984', '117']
['279', '286', '15', '260', '736', '594', '648', '949', '106', '665', '56', '876', '4', '294', '164', '479', '631', '430', '801', '959', '19', '441', '943', '7', '637', '224', '544', '61', '255', '802', '710']
['640', '563', '130', '425', '759', '189', '469', '663', '175', '466', '522', '427', '320', '187', '1', '752', '172', '568', '646', '871', '35', '253', '688', '79', '152', '103', '792', '972', '645', '305', '711']
['53', '516', '812', '197', '800', '854', '908', '621', '573', '338', '501', '128', '647', '950', '503', '85', '976', '822', '889', '438', '330', '618', '155', '357', '182', '601', '930', '95', '783', '643', '793']
['586', '199', '552', '256', '91', '929', '674', '898', '952', '622', '682', '478', '814', '456', '293', '483', '114', '791', '915', '343', '872', '339', '690', '432', '336', '116', '5', '161', '853', '523', '744']
['779', '223', '382', '378', '918', '533', '396', '394', '39', '134', '368', '855', '139', '110', '37', '23', '26', '508', '995', '678', '561', '196', '67', '337', '636', '321', '345', '415', '283', '866', '513']
['832', '52', '670', '651', '404', '912', '366', '349', '326', '460', '559', '626', '553', '16', '11', '884', '141', '500', '488', '920', '625', '875', '819', '499', '942', '540', '761', '606', '195', '400', '495']
['263', '954', '433', '556', '992', '146', '805', '781', '97', '122', '641', '528', '87', '331', '965', '455', '519', '377', '901', '340', '18', '831', '862', '381', '894', '273', '588', '374', '937', '583', '179']
['666', '983', '303', '395', '705', '897', '341', '720', '120', '799', '429', '69', '142', '614', '461', '311', '173', '608', '510', '43', '860', '830', '700', '684', '386', '757', '939', '125', '796', '948', '299']
['150', '393', '221', '243', '828', '308', '136', '205', '717', '200', '346', '13', '839', '567', '281', '242', '672', '823', '865', '543', '371', '863', '615', '754', '317', '511', '882', '315', '198', '481', '535']
['702', '418', '769', '292', '365', '680', '652', '54', '933', '310', '755', '363', '112', '938', '296', '911', '138', '411', '412', '512', '507', '376', '527', '178', '497', '741', '74', '607', '480', '730', '592']
['906', '600', '358', '673', '763', '333', '771', '192', '447', '209', '470', '980', '275', '656', '238', '12', '29', '89', '158', '697', '653', '747', '356', '380', '127', '689', '838', '806', '236', '904', '706']
['521', '881', '211', '675', '715', '760', '46', '772', '577', '971', '914', '399', '605', '359', '560', '439', '879', '352', '84', '464', '31', '408', '446', '228', '602', '632', '160', '861', '707', '963', '80']
['957', '683', '691', '869', '850', '997', '312', '265', '555', '298', '840', '907', '955', '215', '38', '220', '121', '962', '476', '435', '218', '579', '858', '740', '990', '251', '421', '845', '558', '165', '712']
['131', '842', '824', '770', '584', '574', '695', '524', '83', '887', '351', '383', '420', '169', '384', '297', '486', '318', '655', '212', '444', '405', '991', '269', '157', '123', '314', '734', '742', '277', '833']
['726', '472', '661', '921', '934', '696', '547', '721', '659', '609', '868', '686', '245', '364', '827', '768', '261', '564', '140', '42', '790', '250', '88', '354', '490', '815', '180', '667', '494', '820', '694']
['895', '219', '616', '237', '947', '693', '385', '746', '9', '701', '738', '22', '762', '874', '347', '743', '795', '30', '766', '414', '545', '295', '709', '988', '416', '149', '685', '225', '657', '445', '956']
['369', '785', '654', '452', '233', '531', '65', '367', '335', '257', '765', '397', '940', '181', '826', '485', '627', '266', '515', '388', '951', '681', '753', '953', '569', '276', '113', '484', '44', '719', '919']
['419', '570', '324', '482', '899', '549', '935', '843', '905', '664', '731', '575', '932', '699', '177', '24', '548', '767', '51', '589', '676', '958', '171', '148', '387', '960', '454', '530', '578', '809', '287']
['401', '190', '440', '782', '576', '235', '572', '844', '389', '603', '718', '593', '254', '613', '996', '278', '193', '916', '98', '554', '132', '784', '21', '90', '725', '348', '896', '542', '3', '316', '642']
['633', '291', '650', '514', '194', '923', '288', '847', '64', '107', '60', '232', '841', '267', '379', '398', '968', '184', '727', '406', '504', '229', '71', '816', '491', '836', '390', '203', '797', '745', '183']
['852', '100', '185', '154', '776', '803', '8']
