['698', '849', '31', '43', '49']
['762', '968', '870', '792', '767']
['682', '900', '64', '234', '976']
['817', '22', '318', '543', '133']
['476', '564', '288', '626', '432']
['913', '905', '204', '664', '799']
['403', '121', '278', '642', '840']
['909', '815', '420', '513', '596']
['763', '149', '279', '602', '375']
['612', '292', '226', '223', '324']
['924', '412', '847', '547', '862']
['68', '373', '940', '290', '939']
['933', '555', '884', '821', '503']
['738', '954', '629', '237', '715']
['28', '352', '658', '765', '114']
['550', '544', '902', '41', '142']
['587', '18', '919', '58', '984']
['302', '250', '377', '942', '965']
['549', '435', '507', '563', '458']
['897', '854', '794', '314', '407']
['663', '836', '485', '875', '366']
['136', '293', '960', '951', '338']
['56', '778', '690', '48', '38']
['556', '928', '923', '771', '652']
['361', '988', '569', '774', '814']
['11', '102', '162', '81', '745']
['7', '36', '410', '671', '185']
['950', '887', '384', '524', '303']
['465', '760', '84', '706', '249']
['921', '242', '528', '964', '483']
['730', '399', '406', '127', '603']
['535', '650', '451', '273', '610']
['819', '972', '896', '217', '992']
['864', '312', '680', '154', '595']
['203', '723', '19', '148', '153']
['494', '820', '230', '72', '327']
['759', '196', '618', '456', '418']
['364', '901', '808', '514', '780']
['131', '82', '553', '949', '871']
['321', '829', '935', '161', '168']
['557', '753', '751', '570', '183']
['95', '55', '21', '299', '426']
['882', '625', '499', '180', '701']
['907', '562', '678', '726', '655']
['110', '630', '336', '85', '631']
['857', '708', '832', '947', '477']
['376', '941', '971', '441', '400']
['138', '119', '166', '607', '838']
['12', '448', '641', '208', '777']
['853', '793', '209', '221', '973']
['391', '937', '989', '99', '748']
['860', '9', '447', '537', '33']
['98', '828', '468', '445', '522']
['83', '865', '265', '617', '415']
['281', '463', '330', '141', '454']
['551', '842', '532', '859', '512']
['188', '916', '116', '128', '645']
['333', '101', '107', '3', '484']
['818', '297', '139', '440', '437']
['313', '152', '573', '772', '358']
['378', '216', '509', '585', '171']
['386', '431', '498', '966', '885']
['516', '609', '633', '59', '538']
['45', '520', '86', '697', '174']
['747', '320', '248', '635', '308']
['32', '233', '401', '240', '181']
['632', '251', '258', '593', '530']
['575', '843', '711', '835', '287']
['118', '502', '526', '165', '541']
['392', '323', '305', '826', '23']
['775', '470', '284', '559', '833']
['212', '422', '159', '841', '395']
['436', '429', '957', '163', '770']
['980', '10', '694', '197', '643']
['105', '164', '773', '145', '827']
['910', '337', '546', '471', '786']
['781', '89', '94', '801', '899']
['640', '978', '991', '195', '519']
['413', '120', '430', '952', '144']
['75', '408', '310', '702', '729']
['446', '714', '387', '421', '584']
['915', '455', '752', '797', '210']
['981', '307', '497', '67', '673']
['851', '199', '997', '346', '222']
['888', '151', '796', '4', '304']
['986', '425', '527', '574', '495']
['598', '25', '486', '449', '688']
['354', '439', '73', '184', '93']
['620', '561', '453', '628', '894']
